geonameid,name,country_code,country,latitude,longitude,elevation_m,population,timezone,duration_seconds,seconds_sacrificed,sun_altitude_deg,max_eclipse_ut_hours,distance_from_centerline_km
2468353,Gafsa,TN,Tunisia,34.425,8.78417,295,95242,Africa/Tunis,308.2,74.9,54.09,9.135429,51.4
2503874,Bir el Djir,DZ,Algeria,35.72,-0.545,162,68032,Africa/Algiers,308.2,75.0,43.5,8.893805,1.0
2480618,Sidi ech Chahmi,DZ,Algeria,35.65903,-0.52168,92,35512,Africa/Algiers,308.0,75.1,43.53,8.89417,5.7
2485926,Oran,DZ,Algeria,35.69906,-0.63588,118,803329,Africa/Algiers,307.9,75.2,43.4,8.89169,1.6
30616,Judaydah,YE,Yemen,15.07512,45.29962,1256,0,Asia/Aden,307.8,75.3,65.3,10.792723,63.7
2496059,Gdyel,DZ,Algeria,35.78111,-0.42581,143,32774,Africa/Algiers,307.8,75.4,43.62,8.896703,8.1
2497269,En Nedjma,DZ,Algeria,35.64785,-0.5695,90,51665,Africa/Algiers,307.6,75.5,43.48,8.893049,7.1
2487852,Mers el Kebir,DZ,Algeria,35.7279,-0.7081,22,20178,Africa/Algiers,307.6,75.5,43.32,8.890168,1.4
2508174,Aïn el Bya,DZ,Algeria,35.80389,-0.30178,63,37241,Africa/Algiers,307.5,75.6,43.75,8.899617,11.1
2497060,Es Senia,DZ,Algeria,35.64779,-0.62397,88,39064,Africa/Algiers,307.4,75.7,43.42,8.891812,7.3
104515,Makkah,SA,Saudi Arabia,21.42664,39.82563,333,1578722,Asia/Riyadh,307.4,75.7,75.52,10.441958,72.8
2508119,’Aïn el Turk,DZ,Algeria,35.74381,-0.7693,31,36326,Africa/Algiers,307.3,75.8,43.25,8.888833,3.0
2470120,Jilma,TN,Tunisia,35.27311,9.42385,364,5887,Africa/Tunis,307.2,75.9,54.48,9.15035,52.2
2507155,Ammi Moussa,DZ,Algeria,35.86781,1.11143,157,27530,Africa/Algiers,306.9,76.2,45.26,8.932592,24.2
2485636,Oued el Abtal,DZ,Algeria,35.45595,0.68778,259,22819,Africa/Algiers,306.5,76.7,44.86,8.921668,23.6
2476915,Theniet el Had,DZ,Algeria,35.87111,2.02806,1129,27628,Africa/Algiers,306.2,76.9,46.24,8.95428,29.9
2506385,Arzew,DZ,Algeria,35.85048,-0.318,10,58162,Africa/Algiers,305.9,77.2,43.72,8.899398,16.2
